thesis_output,condition,metric,reported_value,recomputed_value,match,notes
Reward-guided MatterGen,baseline_0005,within_pm2,7.0,7.0,True,
Reward-guided MatterGen,baseline_0001,mean_prediction,10.51374912405269,10.51374912405269,True,
Reward-guided MatterGen,baseline_0001,mean_reward,0.44561742092964124,0.44561741854555553,True,
Reward-guided MatterGen,baseline_0001,within_pm2,3.0,3.0,True,
Reward-guided MatterGen,baseline_0020,mean_prediction,10.992041940081158,10.992041940081158,True,
Reward-guided MatterGen,baseline_0020,mean_reward,0.5023331990713984,0.50233319929875,True,
Reward-guided MatterGen,baseline_0020,within_pm2,6.0,6.0,True,
Reward-guided MatterGen,baseline_0012,mean_prediction,14.195123717807217,14.195123717807217,True,
Reward-guided MatterGen,baseline_0012,mean_reward,0.39267892514591135,0.3926789218830769,True,
Reward-guided MatterGen,baseline_0012,within_pm2,5.0,5.0,True,
Reward-guided MatterGen,baseline_0018,mean_prediction,14.586754022403582,14.586754022403582,True,
Reward-guided MatterGen,baseline_0018,mean_reward,0.27881951681024025,0.27881951363373936,True,
Reward-guided MatterGen,baseline_0018,within_pm2,3.0,3.0,True,
Reward-guided MatterGen,baseline_0015,mean_prediction,11.883935731865169,11.883935731865169,True,
Reward-guided MatterGen,baseline_0015,mean_reward,0.34931821341682356,0.3493182084709626,True,
Reward-guided MatterGen,baseline_0015,within_pm2,5.0,5.0,True,
Reward-guided MatterGen,baseline_0006,mean_prediction,16.26513846342806,16.26513846342806,True,
Reward-guided MatterGen,baseline_0006,mean_reward,0.32123077858391214,0.32123077830239777,True,
Reward-guided MatterGen,baseline_0006,within_pm2,2.0,2.0,True,
Reward-guided MatterGen,baseline_0004,mean_prediction,9.272149638840672,9.272149638840672,True,
Reward-guided MatterGen,baseline_0004,mean_reward,0.40212233396900726,0.4021223394228125,True,
Reward-guided MatterGen,baseline_0004,within_pm2,6.0,6.0,True,
Reward-guided MatterGen,baseline_0017,mean_prediction,12.299860726414476,12.299860726414476,True,
Reward-guided MatterGen,baseline_0017,mean_reward,0.31146957578721457,0.3114695756563775,True,
Reward-guided MatterGen,baseline_0017,within_pm2,4.0,4.0,True,
Reward-guided MatterGen,baseline_0022,mean_prediction,13.34690014360633,13.34690014360633,True,
Reward-guided MatterGen,baseline_0022,mean_reward,0.27240870075610885,0.27240869746999996,True,
Reward-guided MatterGen,baseline_0022,within_pm2,3.0,3.0,True,
Reward-guided MatterGen,baseline_0010,mean_prediction,11.390274495749718,11.390274495749718,True,
Reward-guided MatterGen,baseline_0010,mean_reward,0.3854966132895,0.3854966140078817,True,
Reward-guided MatterGen,baseline_0010,within_pm2,6.0,6.0,True,
Reward-guided MatterGen,baseline_0009,mean_prediction,13.293164817654846,13.293164817654846,True,
Reward-guided MatterGen,baseline_0009,mean_reward,0.21564703345679076,0.21564703135486873,True,
Reward-guided MatterGen,baseline_0009,within_pm2,2.0,2.0,True,
Reward-guided MatterGen,baseline_0003,mean_prediction,10.433066626896364,10.433066626896364,True,
Reward-guided MatterGen,baseline_0003,mean_reward,0.2343812845628738,0.2343812850998667,True,
Reward-guided MatterGen,baseline_0003,within_pm2,4.0,4.0,True,
Reward-guided MatterGen,baseline_0007,mean_prediction,8.269303041973053,8.269303041973053,True,
Reward-guided MatterGen,baseline_0007,mean_reward,0.3067099010161603,0.30670990231575,True,
Reward-guided MatterGen,baseline_0007,within_pm2,5.0,5.0,True,
