guidance_factor,condition,subset,family_type,rank,family_label,count,fraction,representative_formula,representative_space_group,mean_predicted_dielectric_scalar,mean_energy_above_hull_per_atom,stable_fraction_within_family,sun_fraction_within_family
0,2,sun_positive,space_group,7,R-3m,1,0.03571428571428571,ErCoCl,R-3m,8.015147074861789,0.0346400052260094,1.0,1.0
0,2,sun_positive,space_group,8,P-1,1,0.03571428571428571,Br,P-1,4.440091947823958,0.0516718482310385,1.0,1.0
0,2,sun_positive,space_group,9,Immm,1,0.03571428571428571,Cs3P2,Immm,4.380016021602139,0.0006306669462725,1.0,1.0
0,2,sun_positive,space_group,10,Fm-3m,1,0.03571428571428571,Cs3WF6,Fm-3m,2.298716843026209,0.0668834276213443,1.0,1.0
0,4,all_relaxed,chemical_system,1,Mg-O-Si,2,0.015625,Mg2SiO4,C2/m,2.5823937490853304,0.1904176118026668,0.0,0.0
0,4,all_relaxed,chemical_system,2,I-Te,2,0.015625,Te7I13,P1,6.892725354037536,0.136475307020354,0.0,0.0
0,4,all_relaxed,chemical_system,3,S,2,0.015625,S,C2/m,3.9064312495352587,0.1794898199702501,0.0,0.0
0,4,all_relaxed,chemical_system,4,Ag-Cl-Mn,1,0.0078125,MnAgCl4,P2/m,3.0174957999469942,0.0189209598969171,1.0,1.0
0,4,all_relaxed,chemical_system,5,Hf-Na-Se,1,0.0078125,Na3HfSe4,C2/m,6.606938193601903,0.0581844242782425,1.0,1.0
0,4,all_relaxed,chemical_system,6,Lu-Se-Zn,1,0.0078125,Lu3Zn3Se8,C2,7.688486446396369,0.1202953807447926,0.0,0.0
0,4,all_relaxed,chemical_system,7,Ca-O-Tl,1,0.0078125,Ca9TlO10,P4/m,4.3414175796285255,0.0568672600200246,1.0,1.0
0,4,all_relaxed,chemical_system,8,C-Zr,1,0.0078125,Zr3C,R3m,16.685182013565946,-0.0024852547553919,1.0,1.0
0,4,all_relaxed,chemical_system,9,I-In-Rb,1,0.0078125,Rb2InI4,I4/mmm,4.109069173831142,0.1045816393617795,0.0,0.0
0,4,all_relaxed,chemical_system,10,F-Mn-O,1,0.0078125,Mn5OF9,P1,4.3449344713148585,0.1906131001122286,0.0,0.0
